query_type,query,rank,track_id,track_name,artists,album_name,genres,popularity,duration,explicit,similarity_score,why_similar,method
track,Shape of You - Ed Sheeran,5,1GzgV0pRSUbenz25xWV2s8,Tauba (feat. Badshah),Payal Dev;Badshah,Tauba (feat. Badshah),pop,68,3:19,False,0.9319,"Similar instrumentalness (0.00 vs 0.00), speechiness (0.08 vs 0.08), tempo (96 BPM vs 87 BPM); shares the 'pop' genre",content_based
track,Shape of You - Ed Sheeran,6,5QKiLD7zEXvQc8VlFYmqhb,"Coka 2.0 (From ""Liger (Telugu)"")",Jaani;Lijo George-Dj Chetas;Ram Miriyala;Geetha Madhuri;Sukh-E Muzical Doctorz,"Coka 2.0 [From ""Liger (Telugu)""]",pop,66,2:46,False,0.9306,"Similar tempo (96 BPM vs 97 BPM), instrumentalness (0.00 vs 0.00), danceability (0.82 vs 0.80); shares the 'pop' genre",content_based
track,Shape of You - Ed Sheeran,7,7d4ZrG3Cer7jbqIl6wOI6D,GODSPEED,Tyson Sidhu,GODSPEED,pop,67,2:07,False,0.9181,"Similar instrumentalness (0.00 vs 0.00), tempo (96 BPM vs 100 BPM), energy (0.65 vs 0.67); shares the 'pop' genre",content_based
track,Shape of You - Ed Sheeran,8,5mnvugwfFYnJm9zuyGkgqF,"Ghalat Fehmi - From ""Superstar""",Asim Azhar;Zenab Fatimah Sultan,"Ghalat Fehmi (From ""Superstar"")",pop,66,4:46,False,0.9088,"Similar instrumentalness (0.00 vs 0.00), acousticness (0.58 vs 0.61), speechiness (0.08 vs 0.09); shares the 'pop' genre",content_based
track,Shape of You - Ed Sheeran,9,6TtNVOFQUbQDUbTQwdILH1,"Coka 2.0 (From ""Liger"")",Jaani;Lijo George-Dj Chetas;Sukh-E Muzical Doctorz;Lisa Mishra,"Coka 2.0 (From ""Liger"")",pop,66,2:46,False,0.9046,"Similar loudness (-3.2 dB vs -3.0 dB), tempo (96 BPM vs 97 BPM), instrumentalness (0.00 vs 0.00); shares the 'pop' genre",content_based
track,Shape of You - Ed Sheeran,10,5cjVsWqIkBQC7acTRhL0RO,Kamariya,Aastha Gill;Sachin Sanghvi;Jigar Saraiya;Divya Kumar,Stree,pop,65,3:08,False,0.8896,"Similar danceability (0.82 vs 0.82), tempo (96 BPM vs 97 BPM), instrumentalness (0.00 vs 0.00); shares the 'pop' genre",content_based
track,Master of Puppets - Metallica,1,7o2CTH4ctstm8TNelqjb51,Sweet Child O' Mine,Guns N' Roses,Appetite For Destruction,hard-rock; metal; rock,84,5:55,True,0.8526,"Similar speechiness (0.04 vs 0.04), acousticness (0.00 vs 0.09), energy (0.84 vs 0.91); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,2,0bVtevEgtDIeRjCJbK3Lmv,Welcome To The Jungle,Guns N' Roses,Appetite For Destruction,hard-rock; metal; rock,80,4:32,True,0.8343,"Similar acousticness (0.00 vs 0.02), instrumentalness (0.43 vs 0.40), loudness (-9.1 dB vs -8.1 dB); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,3,5sICkBXVmaCQk5aISGR3x1,Enter Sandman,Metallica,Metallica,hard-rock; metal; rock,81,5:31,False,0.8303,"Similar acousticness (0.00 vs 0.00), energy (0.84 vs 0.83), speechiness (0.04 vs 0.03); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,4,6UB9mShVLbMm0W4e6vud4C,Battery,Metallica,Master Of Puppets (Remastered),hard-rock; metal,65,5:12,False,0.8299,"Similar acousticness (0.00 vs 0.00), loudness (-9.1 dB vs -8.8 dB), tempo (105 BPM vs 97 BPM); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,5,5qFxuUIAwJlzO60vqOiL7y,Rainbow In The Dark,Dio,Holy Diver,hard-rock; metal,68,4:13,False,0.8138,"Similar acousticness (0.00 vs 0.00), speechiness (0.04 vs 0.04), instrumentalness (0.43 vs 0.40); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,6,3EAdkWngM7RifOu9kSH4cu,Square Hammer,Ghost,Halloween Spooky Party 2022,hard-rock; metal; rock,0,3:59,False,0.8007,"Similar acousticness (0.00 vs 0.00), speechiness (0.04 vs 0.05), danceability (0.54 vs 0.53); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,7,2HZLXBOnaSRhXStMLrq9fD,Mary On A Cross,Ghost,Seven Inches Of Satanic Panic,hard-rock; metal; rock,88,4:05,False,0.7472,"Similar acousticness (0.00 vs 0.00), mood (valence) (0.56 vs 0.56), speechiness (0.04 vs 0.04); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,8,2SrVGpjv0mqCR6j9EZPSm2,2 Minutes to Midnight - 2015 Remaster,Iron Maiden,Powerslave (2015 Remaster),hard-rock; metal,66,6:04,False,0.7247,"Similar acousticness (0.00 vs 0.01), speechiness (0.04 vs 0.05), mood (valence) (0.56 vs 0.59); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,9,3QZ7uX97s82HFYSmQUAN1D,Tom Sawyer,Rush,Moving Pictures (2011 Remaster),hard-rock; metal,73,4:37,False,0.7239,"Similar acousticness (0.00 vs 0.00), speechiness (0.04 vs 0.04), danceability (0.54 vs 0.54); shares the 'hard-rock' genre",content_based
track,Master of Puppets - Metallica,10,4LgWrfYiwdstak9a4i6DZw,Detroit Rock City - Edit,KISS,Rock & Halloween,hard-rock; metal; rock,1,3:36,False,0.7219,"Similar acousticness (0.00 vs 0.03), danceability (0.54 vs 0.52), mood (valence) (0.56 vs 0.45); shares the 'hard-rock' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",1,7esh5OJ7CP435rmXeGm305,Santa Baby,Eartha Kitt,Classic Christmas Greatest Hits,jazz,0,2:49,False,0.9807,"Similar speechiness (0.06 vs 0.05), acousticness (0.85 vs 0.89), energy (0.25 vs 0.24); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",2,7knht8aJ0OGe173oiks4FG,"Baby, It's Cold Outside - Remastered 2004",Dean Martin,Best Christmas Songs 2022 | For under the Mistletoe,jazz,0,2:23,False,0.9749,"Similar loudness (-11.6 dB vs -11.5 dB), acousticness (0.85 vs 0.81), danceability (0.51 vs 0.50); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",3,6Nnohe4qA8s5BiuoIAn560,You're Nobody 'Til Somebody Loves You - Remastered/1997,Dean Martin,Christmas time but not Christmas songs 2022,jazz,0,2:13,False,0.9706,"Similar energy (0.25 vs 0.25), danceability (0.51 vs 0.49), acousticness (0.85 vs 0.78); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",4,3wMJQ5qeN02ljNn3lRMVka,Habits,Scott Bradlee's Postmodern Jukebox;Haley Reinhart,Selfies on Kodachrome,jazz,59,3:36,False,0.9604,"Similar acousticness (0.85 vs 0.86), speechiness (0.06 vs 0.05), tempo (113 BPM vs 117 BPM); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",5,5vEopnR9F4viOgBg0agaOD,¿Cómo Fue?,Beny Moré,RCA 100 Años De Musica,jazz,44,2:55,False,0.9598,"Similar energy (0.25 vs 0.27), loudness (-11.6 dB vs -11.1 dB), speechiness (0.06 vs 0.04); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",6,2Lpy3EwCxTCDnpSoraugYc,Half The Perfect World,Madeleine Peyroux,Half The Perfect World,jazz,36,4:21,False,0.9527,"Similar energy (0.25 vs 0.22), tempo (113 BPM vs 109 BPM), speechiness (0.06 vs 0.03); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",7,4fLrPy9wjGuRjGAnWvNvcX,O Tannenbaum,Vince Guaraldi Trio,Ultimate Calm Christmas Jazz,jazz,0,5:09,False,0.9486,"Similar speechiness (0.06 vs 0.04), acousticness (0.85 vs 0.91), energy (0.25 vs 0.19); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",8,6QU82YjJmY9doJBaqE0A88,Joy To The World - Remastered 1999,Nat King Cole,Best Christmas Playlist Ever 2022,jazz,0,1:25,False,0.9457,"Similar acousticness (0.85 vs 0.82), loudness (-11.6 dB vs -10.3 dB), danceability (0.51 vs 0.55); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",9,5cAUbhZcGKn666AZ9oO3RO,Moon River,Louis Armstrong,The Greatest Jazz Mix,jazz,2,2:56,False,0.9408,"Similar acousticness (0.85 vs 0.89), instrumentalness (0.08 vs 0.01), speechiness (0.06 vs 0.03); shares the 'jazz' genre",content_based
profile,"genres=['jazz'], prefs={'acousticness': 0.85, 'energy': 0.25}",10,1kkCeMpEx707LGM1nh9uyG,Love is in the Air,48th St. Collective,"Vintage Café: Lounge and Jazz Blends, Vol. 22",jazz,0,2:51,False,0.9396,"Similar loudness (-11.6 dB vs -12.0 dB), instrumentalness (0.08 vs 0.12), acousticness (0.85 vs 0.79); shares the 'jazz' genre",content_based
